Muaji,kembimi_valutor,ick,norma_depozitave,norma_huave_euro,depozita_euro,depozita_lek,shpenzimet_qeverise,ivt,hyrje,dalje,importe,eksporte,diferenca_hyrje_dalje
2016-01,138.35,330.9,0.1,5.68,3312.7,549702.73,23803,91.2,465812,581084,34878590527,16379709018,115272
2016-02,138.33,334.6,0.09,5.23,3303.77,545823.18,51518,87.9,448234,472378,41841459159,17591972502,24144
2016-03,138.22,336.1,0.07,5.34,3288.75,547179.47,83277,96.2,555151,571959,46937627014,19360807436,16808
2016-04,138.51,334.7,0.07,5.52,3255.47,543523.55,115508,96.2,648988,619664,51978724539,21136152925,-29324
2016-05,138.32,330.6,0.06,4.21,3252.28,545887.48,145990,100.4,707494,805603,51804917646,20525628427,98109
2016-06,137.92,328.6,0.06,5.34,3299.69,541644.08,181064,101.9,756711,732098,52000607831,22603102406,-24613
2016-07,136.57,328.8,0.06,5.43,3319.13,535296.06,214768,109.7,1342336,1282000,50067416013,22504815872,-60336
2016-08,136.51,331.6,0.08,4.7,3436.31,536321.62,252854,119.8,1707911,1686426,46515229283,16431317301,-21485
2016-09,137.34,332.8,0.06,4.15,3449.03,547332.75,286641,106.5,783544,946766,48115553093,20577166764,163222
2016-10,136.85,332,0.06,4.91,3509.55,547958.51,320169,106.2,683663,732728,49824722115,21681001618,49065
2016-11,136.18,332.1,0.05,4.59,3580.11,544899.38,359671,105.5,544425,579745,49500666139,22870281574,35320
2016-12,135.27,335.2,0.07,4.63,3635.28,557891.31,432027,131.7,683745,510845,55782787370,21835840319,-172900
2017-01,136.57,340.3,0.07,4.6,3639.82,553056.71,25634,93.2,468162,558109,35186211376,18928575561,89947
2017-02,135.59,342,0.05,4.64,3650.51,551946.64,55791,93.3,464485,481613,43987580617,20095283727,17128
2017-03,135.38,343.3,0.05,4.58,3591.97,554739,95189,104.8,584780,633894,53951356781,23621732651,49114
2017-04,135.42,341.2,0.06,5.13,3591.74,551169.77,129825,100.5,764485,766779,49952277810,24021457483,2294
2017-05,134.58,337.1,0.06,4.39,3574.82,550920.6,170448,104.5,721054,789052,55628037868,24262479459,67998
2017-06,133.21,335.9,0.06,4.54,3607.48,552907.83,209595,107.2,816877,771980,56799598760,22570989648,-44897
2017-07,132.57,335.5,0.06,4,3614.66,554545.92,247392,114.9,1379302,1362491,54885050551,24742344294,-16811
2017-08,132.53,336.8,0.09,4.43,3685.45,547267.59,284982,120.9,1751149,1808151,49391248725,18454024656,57002
2017-09,133.55,338.1,0.07,3.86,3669.28,554279.43,322603,109,852743,1053181,53382827528,24076234404,200438
2017-10,133.66,338.2,0.06,4.35,3671.8,553246.25,359883,114.7,795885,815457,57549015692,24821890477,19572
2017-11,133.49,337.7,0.06,4.2,3660.46,556679.81,400978,106.4,628715,705760,54663447582,25406411979,77045
2017-12,133.25,341.2,0.04,4.29,3702.54,561432.5,461410,127.8,741685,673013,60809152913,21986506651,-68672
2018-01,133.57,346.2,0.05,4.07,3727.85,556702.91,30028,97.2,605444,726463,44848680771,23556873262,121019
2018-02,132.72,349,0.04,4.35,3694.05,562069.23,63853,96.6,493564,494948,45924454288,23874513662,1384
2018-03,131.27,350,0.04,3.58,3713.97,551227.2,100279,105.6,607288,598992,55274656691,27080771856,-8296
2018-04,129.28,348.3,0.04,4.09,3715.26,552850.74,139869,104.6,781404,813755,52546330492,26734222097,32351
2018-05,126.98,344.2,0.04,4.36,3762.14,555850.1,180744,109.6,789391,839235,56772551966,30166231220,49844
2018-06,125.95,344,0.04,4.08,3788.04,564403.37,215337,112.1,912472,895414,54163607460,26657498592,-17058
2018-07,125.86,343.1,0.03,4.29,3803.93,566783.5,253619,121.3,1548604,1435804,58205560033,26772845851,-112800
2018-08,125.66,344.3,0.06,4.08,3914.95,562550.17,289715,130.7,2120822,2184720,48248967492,20448875374,63898
2018-09,126.47,345.1,0.05,4.31,3981.29,568343.33,325988,116,1121116,1336203,51022020593,26212658086,215087
2018-10,125.21,344.5,0.04,3.76,3992.54,562985.89,368555,116.6,786089,791058,58233007422,30111405695,4969
2018-11,124.62,343.7,0.04,4.14,4011.14,566324.62,408700,113.9,647126,660514,56146188437,27179319469,13388
2018-12,123.45,347.3,0.03,4.38,4075.17,570677.71,476147,136.4,833200,655415,60079498677,21640709375,-177785
2019-01,124.39,352.9,0.05,3.62,4119.54,575426.99,32445,102.3,574048,693657,42089523739,21848831058,119609
2019-02,124.56,355,0.03,4.16,4106.48,575366.65,67578,100.1,530691,559611,49842878415,22611351693,28920
2019-03,124.99,353.9,0.03,4.59,4107.46,578977.82,104591,109.9,712983,728817,56053141145,27819955148,15834
2019-04,124.34,353,0.03,4.38,4151.72,582561.56,146268,109,874156,854355,57240521761,26750291889,-19801
2019-05,122.99,349.5,0.02,4.11,4158.65,577098.23,188063,114.7,829164,880689,59028496678,27751989732,51525
2019-06,122,348.5,0.03,3.7,4147.26,580492.34,229569,117.1,1080464,1103782,53426336091,25565091445,23318
2019-07,121.95,348.1,0.03,3.96,4228.23,582474.77,271975,126.3,1724374,1463133,59758330105,27754220126,-261241
2019-08,121.26,349.3,0.05,4,4360.77,587433.46,309504,137.7,2256761,2160387,51685024069,20075562104,-96374
2019-09,121.61,349.6,0.04,3.92,4386.74,583168.68,347181,119.6,1063358,1277023,52185169358,24940192894,213665
2019-10,123.11,348.9,0.03,4.33,4389.83,584806.57,390037,119.5,866121,888218,59308327210,27027401912,22097
2019-11,122.8,348.4,0.03,4.1,4389.98,587783.32,432251,117.7,693951,787359,52976510318,24744489316,93408
2019-12,122.17,351.3,0.03,4.39,4451.17,593699.4,491897,143.6,897696,784404,55524097807,21902430905,-113292
2020-01,122.08,358,0.04,4.26,4493.45,600467.16,32517,118.2,693956,842694,41910562572,23011847175,148738
2020-02,122.13,359.3,0.03,3.98,4496.96,606643.62,67507,109.4,616496,639729,51762167489,25009149154,23233
2020-03,124.31,361.3,0.02,4.16,4440.01,610512.05,106948,85.7,272514,284929,44373665774,17810779975,12415
2020-04,125.4,359.8,0.03,4.07,4391.85,616515.84,148804,78.9,25257,23925,36402037331,14922415206,-1332
2020-05,123.91,356.8,0.04,3.79,4401.37,619456.61,187634,105.6,46488,45367,44756879010,21514797819,-1121
2020-06,124.22,354.8,0.04,4.04,4390.87,624365.06,233739,124.8,364574,385199,52134042333,23111507667,20625
2020-07,124.02,352.9,0.03,3.91,4385.21,624335.01,283075,127.3,663980,545962,56767021490,24566805046,-118018
2020-08,123.8,353.7,0.04,3.94,4454.14,624887.59,324122,127.8,846973,846714,48207090689,19399180570,-259
2020-09,124.02,355,0.04,3.73,4494.99,628845.65,367645,124,604703,706145,52442909860,25268875060,101442
2020-10,123.98,355.9,0.04,3.59,4509.5,632486.38,413544,118.6,481167,485222,59381925799,26888255762,4055
2020-11,123.78,354,0.04,4.14,4510.46,632097.51,455687,118.6,360343,366335,55754694441,27363489144,5992
2020-12,123.55,355,0.04,4.6,4582.34,652756.61,536279,146.5,442966,371671,61369045171,23087930912,-71295
2021-01,123.53,359.5,0.05,4.03,4610.5,650569.13,33201,100,405799,450581,45419901149,23735737627,44782
2021-02,123.61,363.4,0.04,3.2,4629.83,650369.64,70033,101.6,360524,371707,52246889014,24772164284,11183
2021-03,123.34,365.8,0.03,4.05,4662.53,657227.59,118159,117.4,394478,413443,64496580381,31717131894,18965
2021-04,123.1,366.7,0.05,3.97,4676.08,659772.94,167815,107.5,466283,449930,62928556548,28691435272,-16353
2021-05,123.01,363.4,0.04,3.89,4720.51,670266.18,212151,115.7,605421,651062,61942371029,32856864328,45641
2021-06,122.83,360.4,0.04,3.93,4809.47,675639.49,263460,121.6,939872,873582,67175128531,34856479586,-66290
2021-07,122.32,360.8,0.06,3.85,4898.3,677175.14,311562,128.4,1646963,1459462,71578031602,32092704216,-187501
2021-08,121.55,362.2,0.09,3.92,5145.95,675443.66,356573,133.5,2185493,2154672,60854823019,23756025849,-30821
2021-09,121.59,363.9,0.06,4.05,5238,681926.21,395246,128.5,794010,961342,69004319093,33121135094,167332
2021-10,121.71,364.5,0.05,4.22,5257.93,687135.19,440254,126.3,601522,621149,76709189280,33961685212,19627
2021-11,122.13,364.3,0.04,4.36,5337.93,691135.19,481946,126.4,445621,531251,80517961350,37306392028,85630
2021-12,121.81,365.2,0.05,4.43,5427.93,695135.19,551643,156.4,632451,535624,87524587345,34304533338,-96827
